1,63727,3,1
639,62724,290,717
1277,61633,494,1604
1915,60206,717,2808
2553,58709,890,4132
3191,57092,1096,5543
3829,55472,1323,6936
4467,53875,1571,8285
5105,52236,1777,9718
5743,50632,1949,11150
6381,49199,2164,12368
7019,47693,2374,13664
7657,46156,2577,14998
8295,44740,2778,16213
8933,43353,2952,17426
9571,42032,3162,18537
10209,40675,3364,19692
10847,39289,3554,20888
11485,37866,3764,22101
12123,36599,3937,23195
12761,35408,4097,24226
13399,34248,4231,25252
14037,33110,4349,26272
14675,32019,4472,27240
15313,30871,4641,28219
15951,29745,4803,29183
16589,28566,5001,30164
17227,27563,5161,31007
17865,26538,5333,31860
18503,25515,5446,32770
19141,24609,5521,33601
19779,23651,5632,34448
20417,22777,5701,35253
21055,21929,5830,35972
21693,21130,5883,36718
22331,20319,6019,37393
22969,19591,6070,38070
23607,18804,6172,38755
24245,18049,6292,39390
24883,17340,6388,40003
25521,16657,6466,40608
26159,15952,6581,41198
26797,15404,6625,41702
27435,14772,6712,42247
28073,14131,6800,42800
28711,13669,6812,43250
29349,12976,6893,43862
29987,12557,6926,44248
30625,11983,6954,44794
31263,11548,6990,45193
31901,11003,6988,45740
32539,10602,7046,46083
33177,9978,7155,46598
33815,9597,7133,47001
34453,9189,7132,47410
35091,8749,7141,47841
35729,8417,7196,48118
36367,7991,7246,48494
37005,7641,7255,48835
37643,7388,7262,49081
38281,6971,7295,49465
38919,6636,7326,49769
39557,6410,7363,49958
40195,5986,7437,50308
40833,5574,7512,50645
41471,5421,7468,50842
42109,5199,7444,51088
42747,4868,7441,51422
43385,4509,7439,51783
44023,4322,7477,51932
44661,4143,7504,52084
45299,3841,7558,52332
45937,3512,7634,52585
46575,3116,7720,52895
47213,2984,7654,53093
47851,2836,7591,53304
48489,2640,7530,53561
49127,2407,7449,53875
49765,2161,7381,54189
50403,1909,7320,54502
51041,1741,7343,54647
51679,1632,7377,54722
52317,1466,7438,54827
52955,1240,7516,54975
53593,1025,7591,55115
54231,759,7683,55289
54869,512,7771,55448
55507,281,7859,55591
56145,214,7372,56145
56783,210,6738,56783
57421,196,6114,57421
58059,180,5492,58059
58697,164,4870,58697
59335,146,4250,59335
59973,122,3636,59973
60611,110,3010,60611
61249,82,2400,61249
61887,68,1776,61887
62525,52,1154,62525
63163,24,544,63163
